org_id,img_id,File,split0,split1,split2,split3,split4
1,org01_wt2D_d02_LabA,org01_wt2D_d02_LabA.jpg,test,train,train,train,val
1,org01_wt2D_d02_LabB,org01_wt2D_d02_LabB.tif,test,train,train,train,val
1,org01_wt2D_d05_LabA,org01_wt2D_d05_LabA.jpg,test,train,train,train,val
1,org01_wt2D_d05_LabB,org01_wt2D_d05_LabB.tif,test,train,train,train,val
1,org01_wt2D_d08_LabA,org01_wt2D_d08_LabA.jpg,test,train,train,train,val
1,org01_wt2D_d08_LabB,org01_wt2D_d08_LabB.tif,test,train,train,train,val
1,org01_wt2D_d10_LabA,org01_wt2D_d10_LabA.jpg,test,train,train,train,val
1,org01_wt2D_d10_LabB,org01_wt2D_d10_LabB.tif,test,train,train,train,val
1,org01_wt2D_d12_LabA_after_embedding,org01_wt2D_d12_LabA_after_embedding.jpg,test,train,train,train,val
1,org01_wt2D_d12_LabA_before_embedding,org01_wt2D_d12_LabA_before_embedding.jpg,test,train,train,train,val
1,org01_wt2D_d12_LabB_after_embedding,org01_wt2D_d12_LabB_after_embedding.tif,test,train,train,train,val
1,org01_wt2D_d12_LabB_before_embedding,org01_wt2D_d12_LabB_before_embedding.tif,test,train,train,train,val
1,org01_wt2D_d16_LabA,org01_wt2D_d16_LabA.jpg,test,train,train,train,val
1,org01_wt2D_d16_LabB,org01_wt2D_d16_LabB.tif,test,train,train,train,val
1,org01_wt2D_d19_LabA,org01_wt2D_d19_LabA.jpg,test,train,train,train,val
1,org01_wt2D_d19_LabB,org01_wt2D_d19_LabB.tif,test,train,train,train,val
1,org01_wt2D_d22_LabA,org01_wt2D_d22_LabA.jpg,test,train,train,train,val
1,org01_wt2D_d22_LabB,org01_wt2D_d22_LabB.tif,test,train,train,train,val
1,org01_wt2D_d25_LabA,org01_wt2D_d25_LabA.jpg,test,train,train,train,val
1,org01_wt2D_d25_LabB,org01_wt2D_d25_LabB.tif,test,train,train,train,val
1,org01_wt2D_d30_LabA,org01_wt2D_d30_LabA.jpg,test,train,train,train,val
1,org01_wt2D_d30_LabB,org01_wt2D_d30_LabB.tif,test,train,train,train,val
2,org02_wt2D_d02_LabA,org02_wt2D_d02_LabA.jpg,train,test,train,train,val
2,org02_wt2D_d02_LabB,org02_wt2D_d02_LabB.tif,train,test,train,train,val
2,org02_wt2D_d05_LabA,org02_wt2D_d05_LabA.jpg,train,test,train,train,val
2,org02_wt2D_d05_LabB,org02_wt2D_d05_LabB.tif,train,test,train,train,val
2,org02_wt2D_d08_LabA,org02_wt2D_d08_LabA.jpg,train,test,train,train,val
2,org02_wt2D_d08_LabB,org02_wt2D_d08_LabB.tif,train,test,train,train,val
2,org02_wt2D_d10_LabA,org02_wt2D_d10_LabA.jpg,train,test,train,train,val
2,org02_wt2D_d10_LabB,org02_wt2D_d10_LabB.tif,train,test,train,train,val
2,org02_wt2D_d12_LabA_after_embedding,org02_wt2D_d12_LabA_after_embedding.jpg,train,test,train,train,val
2,org02_wt2D_d12_LabA_before_embedding,org02_wt2D_d12_LabA_before_embedding.jpg,train,test,train,train,val
2,org02_wt2D_d12_LabB_after_embedding,org02_wt2D_d12_LabB_after_embedding.tif,train,test,train,train,val
